20474|GREK|002|01|Greek-Intensive 1st Yr II|1.5|HU|15|Lefkow itz, Jeremy|Language|TR|9:00am - 9:45am|TROT 115|$||["MF ","9:30am - 10:20am ","TROT 115 "]
26049|GREK|012|01|Homer&apos;s Illiad|1|HU, W|12|Lefkow itz, Jeremy|Course|MWF|10:30am - 11:20am|TROT 115|$||
25437|GREK|098|01|Senior Course Study|0.5||5|STAFF|Seminar1||||$|See Dept Admin Asst to register.|
26050|GREK|114|A|Greek Drama (W)(1)|1|HU, W|12|Ledbetter, Grace|Seminar1|W|1:00pm - 5:00pm|TROT 115|$|Double-graded seminar. BOTH SECTIONS required.|
26051|GREK|114|B|Greek Drama (2)|1|HU|12|Ledbetter, Grace|Seminar2|W|1:00pm - 5:00pm|TROT 115|$|Double-graded seminar. BOTH SECTIONS required.|
26044|GSST|015|01|Transgender Worlds|1||25|Bettray, Ute|Course|F|2:00pm - 5:00pm|TROT 301|$|Cross-listed w ith LITR 015.Eligible for GSST program.|
23037|GSST|091|01|Seminar: New Feminisms|1||15|Bettray, Ute|Seminar1|M|1:15pm - 4:00pm|KOHL 230|$|Eligible for GSST program.|
25911|GSST|091A|01|Attmnt:|1||12|Bettray, Ute|Attachment||||$||
26067|HIST|001J|01|FYS: New Hist Cold War Era (W)|1|SS, W|12|Marjorie Murphy,|FY Seminar|M|1:15pm - 4:00pm|TROT 210|$||
26102|HIST|001P|01|FYS: Ltn Amer through the Lens|1|SS|12|Armus, Diego|FY Seminar|W|1:15pm - 4:00pm|TROT 215|$|Eligible for LALS program.|
26062|HIST|002B|01|Early Modern Europe|1|SS|35|Azfar, Farid|Course|MWF|10:30am - 11:20am|TROT 203|$||
24438|HIST|004|01|Latin American History|1|SS|35|Armus, Diego|Course|MWF|11:30am - 12:20pm|TROT 203|$|Eligible for LALS program.|
26068|HIST|014|01|Friars,Heretics&amp;Female Mystics|1|SS|35|Bensch, Stephen|Course|TR|11:20am - 12:35pm|KOHL 202|$|Eligible for GSST or MDST program.|
26064|HIST|027|01|Living w ith Total War:1912-23|1|SS|35|Weinberg, Robert|Course|TR|9:55am - 11:10am|SCI 105|$|Eligible for PEAC program.|
26084|HIST|053|01|Black Women:Cvl Rts Movement|1|SS|15|Dorsey, Allison|Course|TR|11:20am - 12:35pm|BCC 203|$|Eligible for BLST or GSST program.|
26083|HIST|057|01|History vs Hollyw ood|1|SS|35|Dorsey, Allison|Course|M|1:15pm - 4:00pm|TROT 315|$|Not open to first year students.|["R ","7:00pm - 10:00pm ","TROT 315 "]
26063|HIST|090Q|01|The Queer Thry of Empire|1|SS|35|Azfar, Farid|Course|M|1:15pm - 4:00pm|TROT 203|$|Eligible for GSST program.|
25957|HIST|092|01|Thesis|1|SS|12|STAFF|Thesis||||$||
25140|HIST|093|01|Directed Reading|1|SS|8|STAFF|Directed Rdg||||$||
26065|HIST|111|A|Medit:Muslm/Chrstn/Jew (1)|1|SS|12|Bensch, Stephen|Seminar1|T|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required. Eligible for ISLM or MDST program.|
26066|HIST|111|B|Medit:Muslm/Chrstn/Jew (2)|1|SS|12|Bensch, Stephen|Seminar2|T|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required. Eligible for ISLM or MDST program.|
25321|HIST|128|A|Russia- 19 &amp; 20th c. (W)(1)|1|SS, W|10|Weinberg, Robert|Seminar1|W|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required.|
25322|HIST|128|B|Russia- 19 &amp; 20th c. (2)|1|SS|10|Weinberg, Robert|Seminar2|W|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required.|
25323|HIST|135|A|Labor &amp; Urban History (1)|1|SS|10|Murphy, Marjorie|Seminar1|R|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required.|
25324|HIST|135|B|Labor &amp; Urban History (2)|1|SS|10|Murphy, Marjorie|Seminar2|R|1:15pm - 4:00pm|TROT 210|$|Double-graded seminar. BOTH SECTIONS required.|
24189|HIST|180|01|Senior Honors Thesis (W)|1|SS, W|10|STAFF|Thesis||||$||
20042|INTP|091|01|Cpstn: Corpora in Storytelling|1|W|10|Stevens, K.  & Napoli, Donna Jo|Seminar1|T|1:15pm - 4:00pm|KOHL 201|$|Cross-listed w ith LING 091. Eligible for INTP program.|
26201|ISLM|180|01|Senior Honors Thesis|1||5|al-Jamil, Tariq|Thesis||||$|Credit range 1-2. See Dept Admin Asst to register.|
23612|JPNS|002|01|Introduction to Japanese|1.5|HU|15|Gardner, William|Language|TR|9:55am - 11:10am|LANGCR 106|$|Accelerated w /extra credit. Students must register for one drill section A or B below .|
25382|JPNS|002|02|Introduction to Japanese|1.5|HU|15|Gardner, William|Language|TR|11:20am - 12:35pm|LANGCR 106|$|Accelerated w /extra credit. Students must register for one drill section A or B below .|
23614|JPNS|002|A|Introduction to Japanese-Drill|0||12|Tamura, Megumu|Drill|MWF|10:30am - 11:20am|KOHL 116|$||
23615|JPNS|002|B|Introduction to Japanese-Drill|0||12|Tamura, Megumu|Drill|MWF|11:30am - 12:20pm|KOHL 116|$||
23616|JPNS|004|01|2nd Year Japanese|1.5|HU|15|Jo, Yoshiko|Language|TR|9:55am - 11:10am|KOHL 326|$|Accelerated w /extra credit. Eligible for ASIA program.|["MWF ","10:30am - 11:20am ","KOHL 326 "]
25855|JPNS|008|01|Extensive Reading in Japanese|0.5||20|Jo, Yoshiko|Course|T|2:40pm - 3:55pm|KOHL 334|$||
21706|JPNS|013|01|3rd Year Japanese|1|HU|10|Tamura, Megumu|Language|MWF|9:30am - 10:20am|KOHL 116|$|Eligible for ASIA program.|
26239|JPNS|018|01|FYS: Transnat&apos;l Graphic Fictio|1|HU|15|Gardner, William  & Gueydan-Turek, Alexandra|FY Seminar|W|1:15pm - 4:00pm|KOHL 302|$|Cross-listed w ith FREN 018 and LITR 018FJ.|
25607|LALS|025|01|Quest God:Latn Amer Rel Arena|1||20|Machuca-Galvez, Milton|Course|M|1:15pm - 4:00pm|TROT 215|$|Cross-listed w ith RELG 043. Eligible for LALS program.|
26031|LALS|045|01|Rhythms of Latin America|1||15|Machuca-Galvez, Milton|Course|T|1:15pm - 4:00pm|MCCABE 320|$|Eligible for LALS program.|
25608|LALS|093|01|Dir Rdg:|1||2|Machuca-Galvez, Milton|Directed Rdg||||$|See Dept Admin Asst to register. Eligible for LALS program.|
23086|LATN|002|01|Latin-Intensive 1st Yr II|1.5|HU|12|Turpin, William|Language|TR|9:00am - 9:45am|KOHL 230|$||["MF ","9:30am - 10:20am ","KOHL 230 "]
26052|LATN|028|01|Apuleius|1|HU|35|Munson, Rosaria|Course|MWF|11:30am - 12:20pm|TROT 115|$||
26286|LATN|050|01|The New Age of Nero|1|HU|35|Turpin, William|Course|M|1:00pm - 5:00pm|TROT 115|$||
20342|LING|001|01W|Intro to Linguistics (W)|1|SS, W|40|Sanders, Nathan|Course|TR|2:40pm - 3:55pm|SCI 181|$||
24186|LING|007|01|Hebrew for Text Study I|1|SS|35|Plotkin, Helen|Course|MWF|11:30am - 12:20pm|LODGES 5|$|Cross-listed w ith RELG 057.|
25892|LING|009|01|FYS: Lngs Fear, Rcsm &amp; Zombie|1|SS|12|Thomas, Jamie|FY Seminar|W|1:15pm - 4:00pm|SCI L26|$||
26023|LING|011|01|American Sign Language I|1|SS|18|Melanie Drolsbaugh,|Course|TR|11:20am - 12:35pm|TROT 203|$||
26030|LING|030|01|Lang &amp; Idnty in African Experi|1|SS|15|Thomas, Jamie|Course|M|1:15pm - 4:00pm|SCI 145|$||
26026|LING|038|01|BiLing Child/Deaf Parents|1|SS|15|van den Bogaerde, Elizabeth|Course|W|6:30pm - 9:15pm|KOHL 328|$||
25270|LING|040|01|Semantics (W)|1|SS, W|30|Klecha, Peter|Course|TR|2:40pm - 3:55pm|SCI 128|$|Cross-listed w ith PHIL 040. Eligible for COGS program.|
26024|LING|041|01|Dialects of American English|1|SS|25|Irw in, Patricia|Course|TR|2:40pm - 3:55pm|SCI L32|$||
24804|LING|043|01|Morphology and the Lexicon|1|SS|15|Gasser, Emily|Course|TR|11:20am - 12:35pm|PEARS 115|$|Eligible for COGS program.|
25845|LING|045|01|Phonetics &amp; Phonology|1|SS|35|Irw in, Patricia|Course|TR|9:55am - 11:10am|KOHL 115|$|Eligible for COGS program.|
21257|LING|050|01|Syntax (W)|1|SS, W|35|Klecha, Peter|Course|TR|1:15pm - 2:30pm|SCI 128|$|Eligible for COGS program.|
26029|LING|061|01|Structure of Navajo|1|SS|12|Fernald, Theodore|Course|W|6:30pm - 9:15pm|TROT 203|$||
26025|LING|073|01|Comput Lingui: Symbolic Approa|1|SS|25|Washington, Jonathan|Course|TR|11:20am - 12:35pm|TROT 201|$||
26027|LING|080|01|Syntax II|1|SS|15|Irw in, Patricia|Course|W|1:15pm - 4:00pm|PEARS 115|$||
25268|LING|090|01|Advanced Rsch Methods|1|SS|25|Gasser, Emily|Course|TR|1:15pm - 2:20pm|SCI 145|$||
26032|LING|091|01|Cpstn: Corpora in Storytelling|1|SS|10|Napoli, Donna Jo  & Stevens, K.|Seminar1|T|1:15pm - 4:00pm|KOHL 201|$|Cross-listed w ith INTP 091. Eligible for INTP program.|
25941|LING|094|01|Rsch Proj:|0.5||5|STAFF|Research Project||||$|See Dept Admin Asst to register.|
25432|LING|095|01|Community Serv Cr:Lang&amp;Deaf|0.5||35|Napoli, Donna Jo|Independent||||$|Credit range .5 – 1. Eligible for CBL.|
26058|LING|100|02|Research Seminar|1|SS|12|Fernald, Theodore|Seminar1||||$||
26028|LING|115|01|Linguistic Typology|1|SS|25|Washington, Jonathan|Seminar1|M|6:30pm - 9:15pm|SCI 128|$||
25662|LING|134|01|Psycholinguistics Seminar|1|SS|12|Grodner, Daniel|Seminar1|W|7:00pm - 10:00pm|PAPAZ 325|$|Cross-listed w ith PSYC 134.|
20166|LING|199|01|Senior Honors Study|0.5||5|Fernald, Theodore|Senior Honors||||$|Credit range .5 – 1.|
26229|LITR|015|01|Transgender Worlds|1|HU|25|Ute Bettray,|Course|F|2:00pm - 5:00pm|TROT 301|$|Cross-listed w ith GSST 015. Eligible for GSST program.|
26243|LITR|015R|01|FYS: East European Prose (W)|1|HU, W|12|Forrester, Sibelan|FY Seminar|W|1:15pm - 4:00pm|KOHL 114|$||
26238|LITR|018FJ|01|FYS: Transnat&apos;l Graphic Fictio|1|HU|12|Gueydan-Turek, Alexandra  & Gardner, William|FY Seminar|W|1:15pm - 4:00pm|KOHL 302|$|Cross-listed w ith FREN 018 and JPNS 018.|
26245|LITR|026R|01|Russian &amp; EE Science Fiction|1|HU|25|Forrester, Sibelan|Course|TR|2:40pm - 3:55pm|KOHL 330|$|Cross-listed w ith RUSS 026.|
26235|LITR|027CH|01|The Story in Dynastic China|1|HU|15|Tang, Qiaomei|Course|TR|2:40pm - 3:55pm|KOHL 114|$|Cross-listed w ith CHIN 027.|
26230|LITR|051G|01|European Cinema|1|HU|25|Simon, Sunka|Course|TR|11:20am - 12:35pm|LANGCR 112|$||["U ","7:00pm - 10:00pm ","SCI 199 "]
26240|LITR|073F|01|The French New Wave|1|HU|35|Yervasi, Carina|Course|TR|1:15pm - 2:30pm|KOHL 328|$|Cross-listed w ith FMST 052.|["M ","7:00pm - 10:00pm ","KOHL 116 "]
25853|LITR|091CH|01|Spcl Tpcs: Chinese Poetry|1|HU|12|Tang, Qiaomei|Course|TR|11:20am - 12:35pm|KOHL 114|$|Eligible for ASIA program.|
22067|MATH|003|01|Intro to Mathemat Thinking (W)|1|NS, W|15|Giansiracusa, Noah|Course|TR|9:55am - 11:10am|SCI 145|$||
25229|MATH|024|01|Numerical Methods Engr Appli|1|NS, NSEP|35|Moser, Allan  & Piovoso, Michael|Course|MWF|8:30am - 9:20am|HICKS 212|$|Cross-listed w ith ENGR 019.|["R ","1:15pm - 4:00pm ","HICKS 212 "]
22069|MATH|025|01|FurtherTpcs:Single VarCalculus|1|NS|35|Grood, Cheryl|Course|TR|8:30am - 9:45am|SCI 181|$||
23157|MATH|025|02|FurtherTpcs:Single VarCalculus|1|NS|35|Mavinga, Nsoki|Course|TR|11:20am - 12:35pm|SCI 183|$||
22071|MATH|027|01|Linear Algebra|1|NS|35|Chen, Linda|Course|TR|9:55am - 11:10am|SCI 128|$||
22072|MATH|027|02|Linear Algebra|1|NS|35|Chen, Linda|Course|TR|11:20am - 12:35pm|SCI 128|$||
25340|MATH|028|01|Linear Algebra- Honors|1|NS|25|Johnson, Aimee|Course|TR|11:20am - 12:35pm|SCI L32|$||
26172|MATH|028S|01|FYS: Linear Algebra Honors Sem|1|NS|12|Maurer, Stephen|FY Seminar|MWF|11:30am - 12:30pm|SCI 149|$||["W ","1:15pm - 4:30pm ","SCI 149 "]
24529|MATH|029|01|Discrete Mathematics (W)|1|NS, W|15|Drellich, Elizabeth|Course|MWF|9:30am - 10:20am|SCI 145|$|Eligible for COGS program.|
25735|MATH|029|02|Discrete Mathematics (W)|1|NS, W|15|Drellich, Elizabeth|Course|MWF|10:30am - 11:20am|SCI 145|$|Eligible for COGS program.|
22075|MATH|034|01|Several Variable Calculus|1|NS|35|Biro, Michael|Course|MWF|10:30am - 11:20am|SCI 183|$|Eligible for COGS program.|
23326|MATH|034|02|Several Variable Calculus|1|NS|35|Biro, Michael|Course|MWF|11:30am - 12:20pm|SCI 183|$|Eligible for COGS program.|
22076|MATH|035|01|Hnrs Several Variable Calculus|1|NS|20|Hunter, Thomas|Course|MWF|11:30am - 12:20pm|SCI 145|$||
22078|MATH|043|01|Basic Differential Equations|1|NS|30|Barranca, Victor|Course|TR|9:55am - 11:10am|SCI 264|$||
25874|MATH|043|02|Basic Differential Equations|1|NS|30|Diaz Lopez, Alexander|Course|TR|11:20am - 12:35pm|SCI 158|$||
22079|MATH|044|01|Differential Equations|1|NS|30|Mavinga, Nsoki|Course|TR|9:55am - 11:10am|SCI 183|$|Eligible for COGS program.|
25858|MATH|046|01|Theory of Computation|1|NS|50|Fontes, Lila|Course|MWF|9:30am - 10:20am|SCI 181|$|Cross-listed w ith CPSC 046. Students must register for one lab section A or B below . Eligible for COGS program.|
25859|MATH|046|A|Thry of Computation- Lab|0||25|Fontes, Lila|Lab|W|1:15pm - 2:45pm|SCI 256|$||
25860|MATH|046|B|Thry of Computation- Lab|0||25|Fontes, Lila|Lab|W|3:00pm - 4:30pm|SCI 256|$||
26173|MATH|053|01|Tpcs in Analysis:|1|NS|30|Johnson, Aimee|Course|TR|9:55am - 11:10am|SCI L32|$|Eligible for COGS program.|
26174|MATH|066|01|Topics in Applied Mathem|1|NS|30|Barranca, Victor|Course|TR|11:20am - 12:35pm|SCI 264|$|Eligible for COGS program.|
26175|MATH|067|01|Intro to Modern Algebra (W)|1|NS, W|15|Giansiracusa, Noah|Course|TR|8:30am - 9:45am|SCI 158|$|Student must register for one problem session Y or Z below . Eligible for COGS program.|
26176|MATH|067|02|Intro to Modern Algebra (W)|1|NS, W|15|Grood, Cheryl|Course|TR|9:55am - 11:10am|SCI 158|$|Student must register for one problem session W or X below . Eligible for COGS program.|
26177|MATH|067|W|Modern Algebra- Prob Session|0||15|Grood, Cheryl|Problem session|T|3:00pm - 4:00pm|SCI 158|$||
26178|MATH|067|X|Modern Algebra- Prob Session|0||15|Grood, Cheryl|Problem session|T|4:00pm - 5:00pm|SCI 158|$||
26179|MATH|067|Y|Modern Algebra- Prob Session|0||15|Giansiracusa, Noah|Problem session|W|3:00pm - 4:00pm|SCI 158|$||
26180|MATH|067|Z|Modern Algebra- Prob Session|0||15|Giansiracusa, Noah|Problem session|W|4:00pm - 5:00pm|SCI 158|$||
25084|MATH|093|A|Dir Rdg:|0.5||5|STAFF|Directed Rdg||||$|Credit range .5 – 1. See Dept Admin Asst to register.|
20288|MATH|101|01|Real Analysis II|1|NS|12|Talvacchia, Janet|Seminar1|W|7:00pm - 10:00pm|SCI 149|$|Eligible for COGS program.|
20129|MATH|102|01|Modern Algebra II|1|NS|12|Hunter, Thomas|Seminar1|T|1:15pm - 4:30pm|SCI 110|$|Eligible for COGS program.|
26181|MATH|106|01|Adv Topics in Geometry|1|NS|12|Gomez, Ralph|Seminar1|R|1:15pm - 4:30pm|SCI 149|$|Eligible for COGS program.|
26100|MUSI|001A|01|1000 Years of Musical Firsts|1|HU|25|Blasina, James|Course|TR|9:55am - 11:10am|LANGMU 407|$||
26016|MUSI|004E|01|Sound Design|1|HU|35|Atkinson, Elizabeth|Course|M|1:15pm - 3:15pm|LANGPA 310|$|Cross-listed w ith THEA 004E.|["M ","4:15pm - 6:15pm ","LANGPA 310 "]
26096|MUSI|010|01|The Fieldw ork of Music &amp; Dance|1|HU|20|Chakravorty, Pallabi  & Milew ski, Barbara|Course|M|1:15pm - 4:00pm|LANGMU 204|$|Cross-listed w ith DANC 010.|
20172|MUSI|012|01|Harmony,Counterpoint,Form 2|1|HU|25|Whitman, Thomas|Course|MWF|11:30am - 12:20pm|LANGMU 407|$|Choose one MUSI 040B for .5 credit or 0 credit.|
20170|MUSI|014|01|Harmony,Counterpoint,Form 4|1|HU|15|Levinson, Gerald|Course|TR|9:55am - 11:10am|LANGMU 415|$|Choose one MUSI 040D for .5 credit or 0 credit.|
26101|MUSI|018|01|Conducting and Orchestration|1|HU|25|Hauze, Andrew|Course|F|2:00pm - 5:00pm|LANGMU 407|$||
26283|MUSI|026|01|Europe/America:19th/20th (W)|1|HU, W|12|Sabee, Olivia|Course|TR|8:30am - 9:45am|LANGMU 204|$|Cross-listed w ith DANC 022.|
26098|MUSI|027|01|Divas|1|HU|15|Blasina, James|Course|TR|1:15pm - 2:30pm|LANGMU 204|$||
20174|MUSI|040B|01|Elements of Musicianship II|0.5||15|Hauze, Andrew|Performance|M|1:15pm - 2:15pm|LANGMU 407|$|Co-requisite w ith MUSI 012.|
21024|MUSI|040B|02|Elements of Musicianship II|0||15|Hauze, Andrew|Performance|M|2:30pm - 3:30pm|LANGMU 407|$|Co-requisite w ith MUSI 012.|
20440|MUSI|040D|01|Elements of Musicianship IV|0.5||15|Hauze, Andrew|Performance|R|1:15pm - 2:15pm|LANGMU 407|$|Co-requisite w ith MUSI 014.|
24040|MUSI|040D|02|Elements of Musicianship IV|0||15|Hauze, Andrew|Performance|R|1:15pm - 2:15pm|LANGMU 407|$|Co-requisite w ith MUSI 014.|
20176|MUSI|041|01|Performance- Jazz Ensemble|0.5||35|Neu, Charles|Performance|T|7:00pm - 10:00pm|LANGMU 215|$||
24043|MUSI|041|02|Performance- Jazz Ensemble|0||35|Neu, Charles|Performance|T|7:00pm - 10:00pm|LANGMU 215|$||
20177|MUSI|043|01|Performance- Chorus|0.5||35|Gregorio, Joseph|Performance|W|7:00pm - 8:30pm|LANGMU 215|$||
24044|MUSI|043|02|Performance- Chorus|0||35|Gregorio, Joseph|Performance|W|7:00pm - 8:30pm|LANGMU 215|$||
20175|MUSI|044|01|Performance- Orchestra|0.5||35|Hauze, Andrew|Performance|R|7:00pm - 10:00pm|LANGMU 215|$||
24045|MUSI|044|02|Performance- Orchestra|0||35|Hauze, Andrew|Performance|R|7:00pm - 10:00pm|LANGMU 215|$||
20178|MUSI|046|01|Performance- Wind Ensemble|0.5||35|Hauze, Andrew|Performance|M|7:00pm - 10:00pm|LANGMU 215|$||
24046|MUSI|046|02|Performance- Wind Ensemble|0||35|Hauze, Andrew|Performance|M|7:00pm - 10:00pm|LANGMU 215|$||
20179|MUSI|047|01|Performance- Chamber Music|0.5||35|Johns, Michael|Performance||||$|Eligible for MDST program.|
21884|MUSI|047|02|Performance- Chamber Music|0||35|Johns, Michael|Performance||||$||
20180|MUSI|048|01|Performance- Indiv Instruction|0.5||35|STAFF|Performance||||$|Students MUST register w ith Dept w ithin first tw o w eeks.|
20185|MUSI|049|01|Performance- Balinese Gamelan|0.5||25|Whitman, Thomas|Performance|M|4:30pm - 6:30pm|LANGMU 410|$|Eligible for ASIA program. Add&apos;l 30 minutes/w eek; TBA|
24197|MUSI|049|02|Performance- Balinese Gamelan|0||25|Whitman, Thomas|Performance|M|4:30pm - 6:30pm|LANGMU 410|$|Eligible for ASIA program. Add&apos;l 30 minutes/w eek; TBA|
25085|MUSI|050|01|Performance- Garnet Singers|0.5||12|Gregorio, Joseph|Performance|W|8:30pm - 10:00pm|LANGMU 215|$|Students must be registered for MUSI 043. Add&apos;l rehearsals; time/day TBD.|
25086|MUSI|050|02|Performance- Garnet Singers|0||12|Gregorio, Joseph|Performance|W|8:30pm - 10:00pm|LANGMU 215|$|Students must be registered for MUSI 043. Add&apos;l rehearsals; time/day TBD.|
25785|MUSI|071|01|Salsa Dance/Drumming|0.5||8|Arrow , Kim|Studio Course|F|2:15pm - 5:00pm|LANGPA 3|$||
20181|MUSI|092|01|Independent Study|0.5||5|STAFF|Independent||||$|Credit range .5- 1 credit. See Dept Admin Asst to register.|
25511|MUSI|093|01|Directed Reading|1|HU|5|STAFF|Directed Rdg||||$|See Dept Admin Asst to register.|
26099|MUSI|106|01|Winds of Change: Hildegard|1|HU|25|Blasina, James|Seminar1|W|1:15pm - 4:00pm|LANGMU 204|$|Prerequisite: MUSI 011 or permission of the Instructor.|
24776|MUSI|119|01|Composition|1|HU|35|Levinson, Gerald|Course|||LANGMU 409|$||
25610|PEAC|003|01|Crisis Resolution in Mdl East|1||40|Atshan, Sa&apos;ed|Course|T|1:15pm - 4:00pm|KOHL 116|$|Eligible for ISLM, PEAC or POLS program.|
25611|PEAC|043|01|Gndr, Sexuality, Soc Chng (W)|1|W|35|Atshan, Sa&apos;ed|Course|M|1:15pm - 4:00pm|SCI 105|$|Eligible for PEAC or GSST program.|
25605|PEAC|049|01|Soc Entrprnshp: Be the Change|1||15|Crossan, Denise|Course|TR|8:30am - 10:30am|LANGCR 112|$|Eligible for PEAC program.|
26085|PEAC|071B|01|Strategy-Non-Violent Strug (W)|1|W|12|Smithey, Lee|Course|R|1:15pm - 4:00pm|LANGCR 106|$|Cross-listed w ith SOCI 071B.|
22493|PEAC|090|01|Peace Studies Thesis (W)|1|W|5|Sa&apos;ed Atshan,|Thesis||||$|Eligible for PEAC program. See Dept Admin Asst to register.|
25612|PEAC|103|A|Humanitarianism: Anth Appr (1)|1||12|Atshan, Sa&apos;ed|Seminar1|W|1:15pm - 4:00pm|KOHL 226|$|Double-graded seminar. BOTH SECTIONS required. Cross-listed w ith ANTH 103. Eligible for PEAC program.|
25613|PEAC|103|B|Humanitarianism: Anth Appr (2)|1||12|Atshan, Sa&apos;ed|Seminar2|W|1:15pm - 4:00pm|KOHL 226|$|Double-graded seminar. BOTH SECTIONS required.|
20216|PHED|001A|01|Tennis- Spring I|0||12|Fuchs, Lauren|Phys Educ|MWF|10:30am - 11:20am|MULLAN|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
23750|PHED|001B|01|Tennis- Spring II|0||12|Wagner, Eric|Phys Educ|MWF|10:30am - 11:20am|MULLAN|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
24994|PHED|001B|02|Tennis- Spring II|0||12|Fuchs, Lauren|Phys Educ|TR|2:45pm - 4:00pm|MULLAN|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
22481|PHED|002A|01|Fitness Training- Spring I|0||20|Krannebitter, Kathleen|Phys Educ|MWF|8:30am - 9:20am|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
23270|PHED|002A|02|Fitness Training- Spring I|0||20|Midkiff, Matthew|Phys Educ|MWF|9:30am - 10:20am|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
20611|PHED|002A|03|Fitness Training- Spring I|0||20|Fuchs, Lauren|Phys Educ|MWF|11:30am - 12:20pm|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
20390|PHED|002A|04|Fitness Training- Spring I|0||20|Anckaitis, Todd|Phys Educ|MWF|12:35pm - 1:20pm|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
24125|PHED|002A|05|Fitness Training- Spring I|0||20|Anckaitis, Todd|Phys Educ|MW|2:45pm - 4:00pm|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
24597|PHED|002A|06|Fitness Training- Spring I|0||20|Mullan, Michael|Phys Educ|TR|7:00pm - 8:15pm|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
24623|PHED|002A|07|Fitness Training- Spring I|0||20|DeVarney, Renee|Phys Educ|TR|8:30am - 9:45am|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
26277|PHED|002A|08|Fitness Training- Spring I|0||20|Moyer, Erika|Phys Educ|MW|1:15pm - 2:30pm|MABOX|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
24995|PHED|002B|01|Fitness Training- Spring II|0||20|Krannebitter, Kathleen|Phys Educ|MWF|8:30am - 9:20am|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
20225|PHED|002B|02|Fitness Training- Spring II|0||20|Kosmalski, Landry|Phys Educ|MWF|9:30am - 10:20am|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
20226|PHED|002B|03|Fitness Training- Spring II|0||20|Colby, Karin|Phys Educ|TR|1:15pm - 2:30pm|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
20346|PHED|002B|04|Fitness Training- Spring II|0||20|Moyer, Erika|Phys Educ|MW|7:00pm - 8:15pm|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
24996|PHED|002B|05|Fitness Training- Spring II|0||20|McPherson, Christopher|Phys Educ|TR|7:00pm - 8:15pm|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
25841|PHED|003B|01|Adv Weight Training- Spring II|0||10|Christopher McPherson,|Phys Educ|MW|2:45pm - 4:00pm|MABOX|$||
24998|PHED|007A|01|Badminton- Spring I|0||16|Loomis, Jeremy|Phys Educ|TR|1:15pm - 2:30pm|TARBLE GYM|$|1 PE unit- Spring II; 03/13-04/28, 2017. 1 PE unit- Spring I; 01/17-03/3, 2017.|
26010|PHED|010A|01|RAD: Self-Defense- Womens|0||30|Hill, Michael|Phys Educ|FS|8:00am - 6:00pm||$|February 24 &amp; 25, 2017.|
26278|PHED|010B|01|RAD: Self-Defense- Men|0||30|Hill, Michael|Phys Educ|FS|8:00am - 6:00pm||$|March 24 &amp; 25, 2017.|
26276|PHED|011A|01|Sw imming for Beginners|0||10|Chw astyk, Harleigh|Phys Educ|TR|9:55am - 11:10am|POOL POOL|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
25843|PHED|011B|01|Sw imming for Begin- Spring II|0||10|Colby, Karin|Phys Educ|MW|12:35pm - 1:50pm|POOL POOL|$|1 PE unit- Spring II; 03/13-04/28, 2017.Women Only.|
23743|PHED|016A|01|Sw im for Interme- Spring I|0||10|Clarke, Renee|Phys Educ|TR|9:55am - 11:10am|POOL POOL|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
25844|PHED|018A|01|Sw im for Fitness- Spring I|0||10|Limouze, Thomas|Phys Educ|TR|11:20am - 12:35pm|POOL POOL|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
24123|PHED|022A|01|Aerobics- Spring I|0||25|Noveral, Jocelyne|Phys Educ|MW|5:00pm - 6:30pm|CLOTHR TACS|$|1 PE unit- Spring I; 01/17-03/3, 2017.|
22644|PHED|029B|01|Core Ball- Spring II|0||10|DeVarney, Renee|Phys Educ|TR|8:30am - 9:45am|MABOX|$|1 PE unit- Spring II; 03/13-04/28, 2017.|
