20195|CHEM|022|A|Organic Chemistry I-Lab|0||18|New port, Maria  & Halley, Donna|Lab|M|1:00pm - 2:30pm|SCI 181|$||["M ","2:31pm - 4:30pm ","SCI 174 "]
20196|CHEM|022|B|Organic Chemistry I-Lab|0||18|Graves, Christopher  & Sonntag, Lori|Lab|T|1:00pm - 2:30pm|SCI 181|$||["T ","2:31pm - 4:30pm ","SCI 174 "]
20197|CHEM|022|C|Organic Chemistry I-Lab|0||18|Rablen, Paul  & Halley, Donna|Lab|W|1:00pm - 2:30pm|SCI 181|$||["W ","2:31pm - 4:30pm ","SCI 174 "]
20198|CHEM|022|D|Organic Chemistry I-Lab|0||18|New port, Maria  & Sonntag, Lori|Lab|R|1:00pm - 2:30pm|SCI 181|$||["R ","2:31pm - 4:30pm ","SCI 174 "]
20199|CHEM|022|E|Organic Chemistry I-Lab|0||14|New port, Maria  & Sonntag, Lori|Lab|F|1:00pm - 2:30pm|SCI 181|$|If Collection is held, see Professor.|["F ","2:31pm - 4:30pm ","SCI 174 "]
22316|CHEM|022|F|Organic Chemistry I-Lab|0||14|New port, Maria  & Sonntag, Lori|Lab|R|8:00am - 9:45am|SCI 183|$||["R ","9:46am - 11:15am ","SCI 174 "]
20201|CHEM|038|01|Biological Chemistry|1|NS, NSEP|60|Porello, Silvia|Course|TR|11:20am - 12:35pm|SCI 101|$|Students must register for one lab section A-E below .|
20202|CHEM|038|A|Biological Chemistry-Lab|0||12|Heck, Virginia  & Burkhard, Caroline|Lab|M|1:00pm - 2:30pm|SCI 264|$||["M ","2:31pm - 4:30pm ","SCI 274 "]
20203|CHEM|038|B|Biological Chemistry-Lab|0||12|Miller, Stephen  & Burkhard, Caroline|Lab|T|1:00pm - 2:30pm|SCI 264|$||["T ","2:31pm - 4:30pm ","SCI 274 "]
20204|CHEM|038|C|Biological Chemistry-Lab|0||12|Heck, Virginia  & Burkhard, Caroline|Lab|W|1:00pm - 2:30pm|SCI 264|$||["W ","2:31pm - 4:30pm ","SCI 274 "]
20336|CHEM|038|D|Biological Chemistry-Lab|0||12|Miller, Stephen  & Burkhard, Caroline|Lab|R|1:00pm - 2:30pm|SCI 264|$||["R ","2:31pm - 4:30pm ","SCI 274 "]
22685|CHEM|038|E|Biological Chemistry-Lab|0||12|Porello, Silvia  & Burkhard, Caroline|Lab|F|1:00pm - 2:30pm|SCI 264|$|If Collection is held, see Professor.|["F ","2:31pm - 4:30pm ","SCI 274 "]
24872|CHEM|055|01|Physical Chem:Energy &amp; Change|1|NS|18|Wagner, Kyle|Course|MWF|9:30am - 10:20am|SCI 183|$||
24875|CHEM|057|01|Adv Integrated Exp Chem (W)|1|NS, NSEP,|W 24|Riley, Kathryn  & Yatsunyk, Liliya|Lab|TR|1:00pm - 4:30pm|SCI 277|$||["R ","1:00pm - 2:30pm ","SCI 183 "]
25740|CHEM|093|A|Directed Reading|0.5||10|STAFF|Directed Rdg||||$|Credit range .5 – 1. See Dept Admin Asst to register.|
25890|CHEM|094|A|Research Project|0.5||5|STAFF|Research Project||||$|Credit range .5-1. See Dept Admin Asst to register.|
20213|CHEM|096|A|Research Thesis|1|NS|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
26133|CHEM|102|01|Topics-Mod. Organic Chemistry|1|NS|24|Paley, Robert|Seminar1|T|9:55am - 11:10am|SCI 181|$|Students must register for one discussion session A or B below .|
26134|CHEM|102|A|Topics-Mod. Organic Chem- Disc|0||12|Paley, Robert|Discussion|R|9:00am - 12:00pm|SCI 161|$||
26135|CHEM|102|B|Topics-Mod. Organic Chem- Disc|0||12|Paley, Robert|Discussion|R|7:00pm - 10:00pm|SCI 161|$||
26136|CHEM|107|01|Tpcs in Surface Chem/Analysis|1||12|Wagner, Kyle|Seminar1|W|1:15pm - 4:30pm|SCI 161|$||
20214|CHEM|180|A|Honors Research Thesis|1|NS|5|STAFF|Thesis||||$|See Dept Admin Asst to register.|
20016|CHIN|002B|01|Intro-Mandarin Chinese|1.5|HU|15|Kang, Wol A|Language|TR|9:55am - 11:10am|KOHL 201|$|Accelerated w / extra credit. Students must register for one drill section A-C below .|
20018|CHIN|002B|02|Intro-Mandarin Chinese|1.5|HU|15|Kang, Wol A|Language|TR|11:20am - 12:35pm|KOHL 201|$|Accelerated w /extra credit. Students must register for one drill section A-C below .|
20019|CHIN|002B|A|Intro-Mandarin Chinese-Drill|0||10|Speidel, Kirsten|Drill|MWF|9:30am - 10:20am|KOHL 201|$||
24150|CHIN|002B|B|Intro-Mandarin Chinese-Drill|0||10|Speidel, Kirsten|Drill|MWF|10:30am - 11:20am|KOHL 201|$||
21978|CHIN|002B|C|Intro-Mandarin Chinese-Drill|0||10|Speidel, Kirsten|Drill|MWF|11:30am - 12:20pm|KOHL 201|$||
20024|CHIN|004B|01|2nd Yr Mandarin Chinese|1.5|HU|15|Wang, Jiajia|Language|TR|9:55am - 11:10am|KOHL 230|$|Accelerated w / extra credit. Eligible for ASIA program. Students must register for one drill section A or B below .|
20025|CHIN|004B|A|2nd Yr Mandarin Chinese-Drill|0||10|Wang, Min|Drill|MWF|9:30am - 10:20am|KOHL 202|$||
20517|CHIN|004B|B|2nd Yr Mandarin Chinese-Drill|0||10|Wang, Min|Drill|MWF|10:30am - 11:20am|KOHL 202|$||
23221|CHIN|006|01|Chinese for Adv Beginners II|1|HU|15|Wang, Jiajia|Language|TR|8:30am - 9:45am|KOHL 201|$||
20026|CHIN|012|01|Advanced Chinese|1|HU|10|Wang, Jiajia|Language|TR|11:20am - 12:35pm|KOHL 328|$|Prereq: Chin 011 or equivalent language skills. Eligible for ASIA program.|
20028|CHIN|012A|01|Adv. Chinese Conversation|0.5||15|Wang, Min|Language|W|1:15pm - 2:30pm|KOHL 330|$|Meets once a w eek. Eligible for ASIA program.|
20027|CHIN|021|01|Reading &amp; Writing Mod Chin (W)|1|HU, W|15|Tang, Qiaomei|Course|TR|8:30am - 9:45am|KOHL 334|$|Prereq: Chin 020 or its equivalent. Eligible for ASIA program.|
26234|CHIN|027|01|The Story in Dynastic China|1|HU|15|Tang, Qiaomei|Course|TR|2:40pm - 3:55pm|KOHL 114|$|Cross-listed w ith LITR 027CH. Eligible for ASIA program.|
26130|CHIN|087|01|Water Policies:China &amp; US|1|HU|35|Kong, Haili  & Nackenoff, Carol|Course|M|1:15pm - 4:00pm|KOHL 228|$|Cross-listed w ith POLS 087. Eligible for ASIA or ENVS program.|
25852|CHIN|091|01|Spcl Tpcs: Chinese Poetry|1|HU|12|Tang, Qiaomei|Course|TR|11:20am - 12:35pm|KOHL 114|$|Eligible for ASIA program.|
20296|CHIN|093|01|Directed Reading|0.5||5|Kong, Haili|Directed Rdg||||$|See Dept Admin Asst to register.|
23567|CHIN|099|01|Senior Colloquium|0.5||15|Kong, Haili|Research Project|W|2:40pm - 3:55pm|KOHL 201|$|Credit range .5 – 1.|
25211|CLST|020|01|Plato (W)|1|HU, W|20|Ledbetter, Grace|Course|TR|11:20am - 12:35pm|TROT 215|$|Cross-listed w ith PHIL 020.|
26056|CLST|106|A|Cpstn:Christianity/Classl Trad|1|HU|12|Munson, Rosaria|Seminar1|T|1:00pm - 5:00pm|TROT 115|$|Double-graded seminar. BOTH SECTIONS required.|
26057|CLST|106|B|Cpstn:Christianity/Classl Trad|1|HU|12|Munson, Rosaria|Seminar2|T|1:00pm - 5:00pm|TROT 115|$|Double-graded seminar. BOTH SECTIONS required.|
25606|COGS|090|06|Senior Thesis|1||5|Durgin, Frank|Thesis||||$|See Dept Admin Asst to register. Eligible for COGS program.|
26228|COGS|090|13|Senior Thesis|1||5|Grodner, Daniel|Thesis||||$|See Dept Admin Asst to register. Eligible for COGS program.|
20068|CPSC|021|01|Intro to Computer Science|1|NS, NSEP|34|STAFF|Course|MWF|9:30am - 10:20am|SCI 256|$|Students must sign up for one Lab A-D below .|
20531|CPSC|021|02|Intro to Computer Science|1|NS, NSEP|34|Knerr, Jeffrey|Course|MWF|11:30am - 12:20pm|SCI 256|$|Students must sign up for one Lab A-D below .|
24465|CPSC|021|03|Intro to Computer Science|1|NS, NSEP|34|New hall, Tia|Course|TR|11:20am - 12:35pm|SCI 256|$|Students must sign up for one Lab A-D below .|
23705|CPSC|021|A|Intro to Computer Science-Lab|0||25|Knerr, Jeffrey|Lab|T|1:05pm - 2:35pm|SCI 240|$||
