TERM|CRN|SUBJ|CRSE#|SEC|TITLE|CR|DISTR|PROJ|COMMENT|INSTR1|INSTR2|PTRM|DESC1|TIME1|DAYS1|BLDG_RM1|DESC2|TIME2|DAYS2|BLDG_RM2
201704|16625|PHIL|011|01|Moral Philosophy|1|HU|25|Eligible for PEAC program if arranged with Instructor.|Thomason, Krista||1|Course|10:30am-11:20am|MWF|Kohlberg 116||||
201704|16222|PHIL|023|01|Metaphysics|1|HU|25||Raff, Charles||1|Course|1:15pm-4:00pm|M|Trotter Hall 301||||
201704|11118|PHIL|040|01|Semantics|1|HU|25|Cross-listed with Ling 040. Eligible for COGS program.|Klecha, Peter||1|Course|2:40pm-3:55pm|TTH|Science Center 264||||
201704|16626|PHIL|052|01|Bioethics|1|HU|25||Thomason, Krista||1|Course|11:30am-12:20pm|MWF|Beardsley 316||||
201704|15163|PHIL|102|A|Ancient Philosophy (1)|1|HU|12|Double-graded seminar. BOTH SECTIONS required.|Ledbetter, Grace||1|Seminar1|1:16pm-6:00pm|TH|Trotter Hall 115||||
201704|15164|PHIL|102|B|Ancient Philosophy (2)|1|HU|12|Double-graded seminar. BOTH SECTIONS required.|Ledbetter, Grace||1|Seminar2|1:15pm-6:00pm|TH|Trotter Hall 115||||
201704|16627|PHIL|113|A|Topics in Epistemology (1)|1|HU|12|Double-graded seminar. BOTH SECTIONS required. Eligible for COGS program|Baumann, Peter||1|Seminar1|1:15pm-6:00pm|T|Beardsley 305||||
201704|16628|PHIL|113|B|Topics in Epistemology (2)|1|HU|12|Double-graded seminar. BOTH SECTIONS required.|Baumann, Peter||1|Seminar2|1:15pm-6:00pm|T|Beardsley 305||||
201704|16629|PHIL|139|A|Phenom/Existent/PostStruct (1)|1|HU|12|Double-graded seminar. BOTH SECTIONS required. Eligible for INTP program.|Lorraine, Tamsin||1|Seminar1|1:15pm-6:00pm|W|Beardsley 318||||
201704|16630|PHIL|139|B|Phenom/Existent/PostStruct (2)|1|HU|12|Double-graded seminar. BOTH SECTIONS required.|Lorraine, Tamsin||1|Seminar2|1:15pm-6:00pm|W|Beardsley 318||||
201704|16219|PHIL|001C|01|Intro: Truth and Desire (W)|1|HU, W|25||Lorraine, Tamsin||1|Course|11:20am-12:35pm|TTH|Beardsley 316||||
201704|16624|PHIL|001D|01|Intro:Knwldge and the Wrld (W)|1|HU, W|25||Thomason, Krista||1|Course|9:30am-10:20am|MWF|Kohlberg 115||||
201704|16398|PHIL|012A|01|Logic|1|HU|40|Eligible for COGS program. Strong Math/Comp Sci bckgrd or non-freshmen with no prior PHIL course.|Baker, Alan||1|Course|10:30am-11:20am|MWF|Kohlberg 115||||
201704|16399|PHIL|012B|01|Logic|1|HU|40|Eligible for COGS program. Current intending PHIL mjrs/mnors and those w/prior PHILcourses.|Baker, Alan||1|Course|11:30am-12:20pm|MWF|Kohlberg 115||||
201704|10178|PHYS|003|01|General Physics I|1|NS, NSEP|80|Students must register for one Lab section A-D below.|Light, Adam||1|Course|10:30am-11:20am|MWF|Science Center 199||||
201704|10408|PHYS|003|A|General Physics I- Lab|0||14||Smith, Tristan||1|Lab|1:15pm-4:15pm|M|Science Center L45||||
201704|10409|PHYS|003|B|General Physics I- Lab|0||14||Klassen, MaryAnn||1|Lab|1:15pm-4:15pm|T|Science Center L45||||
201704|10410|PHYS|003|C|General Physics I- Lab|0||14||Graves, Amy||1|Lab|1:15pm-4:15pm|W|Science Center L45||||
201704|10411|PHYS|003|D|General Physics I- Lab|0||14||Smith, Tristan||1|Lab|1:15pm-4:15pm|TH|Science Center L45||||
201704|12246|PHYS|005|01|Spacetime and Quanta|1|NS|40||Graves, Amy|Smith, Tristan|1|Course|9:55am-11:10am|TTH|Science Center 104||||
201704|16280|PHYS|005|02|Spacetime and Quanta|1|NS|40||Graves, Amy|Smith, Tristan|1|Course|11:20am-12:35pm|TTH|Science Center 104||||
201704|16500|PHYS|005|X|Spacetime and Quanta- prob ses|0||40|Required for first year students; recommended for others.|Graves, Amy|Smith, Tristan|1|Problem session|7:00pm-9:00pm|TH|Science Center 128||||
201704|15085|PHYS|007|01|Introductory Mechanics|1|NS, NSEP|40|Students must register for one Lab section below.|Guess, Carol||1|Course|11:30am-12:20pm|MWF|Science Center 128||||
201704|15086|PHYS|007|A|Introductory Mechanics- Lab|0||14||Neat, Adam||1|Lab|1:15pm-4:15pm|M|Science Center L44||||
201704|15087|PHYS|007|B|Introductory Mechanics- Lab|0||14||Guess, Carol||1|Lab|1:15pm-4:15pm|T|Science Center L44||||
201704|16103|PHYS|007|C|Introductory Mechanics- Lab|0||14||Light, Adam||1|Lab|1:15pm-4:15pm|W|Science Center L44||||
201704|16768|PHYS|024|01|Earth's Climate/Global Warming|1|NS|40|Eligible for ENVS program.|Jensen, Eric||1|Course|9:55am-11:10am|TTH|Science Center L26||||
201704|10184|PHYS|063|01|Proced-Experim Physics- Lab|0.5||20||STAFF||1|Lab|||Science Center L43||||
201704|11489|PHYS|081|01|Advanced Laboratory I|0.5||16|Phys 081 + 082 = one W. Also meets in rooms L33 & L48.|Crouch, Catherine||1|Lab|2:00pm-5:00pm|F|Science Center L43|Lab|2:00pm-5:00pm|F|Science Center L42
201704|10415|PHYS|082|01|Advanced Laboratory II (W)|0.5|W|16|Phys 081 + 082 = one W. Also meets in rooms L33 & L48.|Crouch, Catherine||1|Lab|2:00pm-5:00pm|F|Science Center L43|Lab|2:00pm-5:00pm|F|Science Center L42
201704|16763|PHYS|083|01|Advanced Laboratory III (W)|0.5|NS, W|16|PHYS 083 + ENGR 072 = one W. Also meets in rooms L42 & L43|Crouch, Catherine||1|Lab|2:00pm-5:00pm|F|Science Center L48|Lab|2:00pm-5:00pm|F|Science Center L33
201704|16391|PHYS|093|01|Directed Reading|0.5||12|Credit range .5-1. See Dept Admin Asst to register.|Geller, Benjamin||1|Directed Rdg|||TBA||||
201704|16834|PHYS|093|02|Directed Reading|0.5||12||Smith, Tristan||1|Directed Rdg|||TBA||||
201704|16835|PHYS|093|03|Directed Reading|0.5||12||Crouch, Catherine||1|Directed Rdg|||TBA||||
201704|16405|PHYS|094|01|Research Project|0.5||10|Credit range .5-1. See Dept Admin Asst to register.|Smith, Tristan||1|Research Project|||TBA||||
201704|16889|PHYS|096|01|Thesis|1||5||Brown, Michael||1|Thesis|||TBA||||
201704|10191|PHYS|111|01|Analytical Dynamics|1|NS|12||Light, Adam||1|Seminar1|1:15pm-4:15pm|T|Science Center 113||||
